id,ingredient_name
103,0.5 oz  Orange Liqueur
104,1 oz  Whiskey
104,1 oz  Sweet Vermouth
104,1 dash  Bitters
104,simple_syrup
105,1.5 oz  Brandy
105,0.75 oz  Almond Liqueur
106,1 oz Gin
106,1 oz Pot Wine
106,1 oz Sweet Vermouth
106,1 Orange Peel
107,2 oz  Whiskey
107,0.5 oz  Herbal Liqueur
107,35ml/4  Lemon
107,Juice of 0.5  Lime
107,1 slice  Lemon
107,1 slice  Lime
108,1.5 oz  Rum
108,1 tblsp  Orange Liqueur
108,1.5 oz  Lime juice
108,simple_syrup
108,cherry
108,ice
109,2 oz  Rum
109,1 tblsp  Lime juice
109,6  Mint
109,simple_syrup
111,30 ml Gin
111,30 ml Bitters
111,90 ml Orange Juice
111,Garnish with Orange Peel
112,1.5 oz  Gin
112,1 oz  Brandy
112,1 oz  Sweet Vermouth
112,1 oz  soda
113,2.5 oz Gin
113,0.5 oz Lime Juice
113,simple_syrup
113,1 Lime
114,2 oz Gin
114,5 oz soda
114,0.25 Lime
115,2 oz  Gin
115,5 oz  soda
115,lime
116,2 oz  Gin
116,Soda
116,Simple Syrup
116,Orange pill
116,Lemon peel
117,2 oz  Gin
117,1 oz  Lemon juice
117,simple_syrup
117,simple_syrup
117,1  Maraschino cherry
117,1  Orange
118,2 oz  Gin
118,Juice of 0.5  Lemon
118,simple_syrup
118,Soda
119,6 cl Gin
119,8 cl Lemon Juice
119,1 Slice Lemon Peel
119,ice
120,2 oz  Gin
120,simple_syrup
120,Juice of 0.5  lemon
120,Top up with soda
120,Garnish Lime
121,2 oz  Gin
121,Juice of 0.5  Lemon
121,simple_syrup
121,1 tsp  Water
121,Twist of  Orange peel
122,2 oz  Gin
122,1 oz  Soda
122,simple_syrup
122,4  Mint
122,1 slice  Orange
122,cherry
123,2 oz  Gin
123,1 oz  Lemon juice
123,simple_syrup
123,1  Orange
123,1  Maraschino cherry
124,1.5 oz  Lime juice
124,simple_syrup
124,2 oz  Gin
124,1 dash  Bitters
124,3 oz  soda
125,2 oz  Gin
125,2 tsp  Water
